Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
okvirji-oglata-acetat-siva-emporio-armani-ea3159,EA3159,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: široka</h3>
<h4>Dimenzije: <span>55-18-142</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Emporio Armani,nan,okvirji,"2020-11, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, blcyb2020, disc_subsc, Emporio Armani, klasična, luxottica-vto, moška, nodiscount, normalna, oglata, okvirji, progresiv, Q2 2019, siva, tah, upld-2020-11-26, široka",True,barva,siva,velikost,široka,nan,nan,'8056597112239,0.0,shopify,deny,manual,119.0,119.0,True,True,'8056597112239,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597112239__frnt.png?v=1606406879,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597112239__frnt.png?v=1606406879,kg,nan,nan,active
okvirji-oglata-acetat-siva-emporio-armani-ea3159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597112239__side.png?v=1606406879,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-oglata-acetat-siva-guess-gm0281-020,GM0281 020,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>54-16-135</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Guess,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, blcyb2020, blkcyb2020, disc_subsc, Guess, imp-20-05-25, klasična, nodiscount, normalna, oglata, okvirji, progresiv, prozorna, Q2 2019, siva, srednja, tah, ženska",False,barva,siva,velikost,srednja,nan,nan,'397584,0.0,shopify,deny,manual,169.0,169.0,True,True,'664689773169,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_6652554d-10c5-4457-933d-f52fca2a3a15.png?v=1590438356,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,kg,nan,nan,active
okvirji-oglata-acetat-siva-oliver-peoples-ov5031-1282,OV5031 1282,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>50-19-144</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Oliver Peoples,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, debela, disc_subsc, mladostno, moška, nodiscount, oglata, okvirji, OLIVER PEOPLES, progresiv, Q2 2016, siva, srednja, tah, vto",True,barva,siva,velikost,srednja,nan,nan,'448551,0.0,shopify,deny,manual,225.0,225.0,True,True,'827934362017,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/448551__side.png?v=1589498525,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/448551__side.png?v=1589498525,kg,nan,nan,active
okvirji-oglata-acetat-siva-puma-pu-0014o-00852,PU-0014O 008/52,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3> Velikost: široka</h3>
<h4>Dimenzije: <span>56-17-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p> Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Puma,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, blcyb2020, blkcyb2020, disc_subsc, mladostno, moška, nodiscount, normalna, oglata, okvirji, progresiv, Puma, siva, tah, upld-2020-10-27 "", široka, športno",True,barva,siva,velikost,široka,nan,nan,'419224,0.0,shopify,deny,manual,65.0,65.0,True,True,'889652148823,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/419224__side_c3270123-b975-408b-a34f-c0bc2c7a4867.png?v=1603757804,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/419224__side_c3270123-b975-408b-a34f-c0bc2c7a4867.png?v=1603757804,kg,nan,nan,active
okvirji-oglata-acetat-siva-ray-ban-rb5279-562953,RB5279 5629/53,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3> Velikost: srednja</h3>
<h4>Dimenzije: <span>53-18-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p> Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Ray Ban,nan,okvirji,""" Ray Ban, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, blcyb2020, blkcyb2020, disc_subsc, klasična, moška, nodiscount, normalna, oglata, okvirji, progresiv, rjava, siva, srednja, tah, upld-2020-10-27 "", vto, ženska",True,barva,siva,velikost,srednja,nan,nan,'427778,0.0,shopify,deny,manual,137.0,137.0,True,True,'8053672685862,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/427778__frnt_90d5682f-5562-4495-9609-bfe73fe9f75c.png?v=1603757887,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/427778__frnt_90d5682f-5562-4495-9609-bfe73fe9f75c.png?v=1603757887,kg,nan,nan,active
okvirji-oglata-acetat-siva-ray-ban-rb5279-562953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/427778__side_77b333f1-b331-4ca1-b9e8-9b379eed318e.png?v=1603757887,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-oglata-acetat-vijolicna-maxmara-mm1229-bx6,MM1229 BX6,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>54-14-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",MaxMara,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-acetat, acetat, disc_30, MaxMara, mladostno, normalna, oglata, okvirji, progresiv, Q2 2018, srednja, tah, vijolična, vto, ženska",True,barva,vijolična,velikost,srednja,nan,nan,'382942,0.0,shopify,deny,manual,140.0,200.0,True,True,'762753267931,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/382942__frnt.png?v=1589498535,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/382942__frnt.png?v=1589498535,kg,nan,nan,active
okvirji-oglata-acetat-vijolicna-maxmara-mm1229-bx6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/382942__side.png?v=1589498535,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-oglata-monel-crna-carrera-ca8855,CA8855,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: široka</h3>
<h4>Dimenzije: <span>56-18-145</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Carrera,nan,okvirji,"2020-11, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-oglata, _tab3_material-monel, blcyb2020, blkcyb2020, Carrera, disc_subsc, klasična, kovinska, monel, moška, nodiscount, normalna, oglata, okvirji, progresiv, Q2 2020, tah, upld-2020-11-19, vto, črna, široka",True,barva,črna,velikost,široka,nan,nan,'600592,0.0,shopify,deny,manual,139.0,139.0,True,True,'716736299082,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/716736299082__frnt.png?v=1605800056,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/716736299082__frnt.png?v=1605800056,kg,nan,nan,active
